id_station;nom_station;longitude;latitude;ville;code_insee
103;MOBILE_15;5.497014999999999;43.47576499999988;Berre-l’Étang;13014
124;Marseille - Timone;5.400258;43.29003899999989;Marseille;13055
129;Aix-En-Provence - Station Aix Jas de Bouffan;5.414063999999999;43.5283879999999;Aix-en-Provence;13001
133;La-Seyne-Sur-Mer - rue Leon Blum;5.881089999999999;43.10195999999989;La-Seyne-Sur-Mer;83126
136;Nice - Station Nice Pellos;7.265199999999998;43.7098309999999;Nice;06088
236;Avignon - 28 Rocade Charles de Gaulle;4.80728;43.92874999999991;Avignon;84007
1511;Monaco - Station Quai Antoine Ier;7.425443599999999;43.7327265999999;Monaco;99138
1512;Monaco - Station Fontvielle;7.417761999999999;43.726749999999896;Monaco;99138
1661;Tarascon - Ecole du Petit Castelet;4.65972222;43.77861110999989;Tarascon;13108
1668;MOBILE_07;5.3977778;43.32972219999988;Avignon;84007
1876;Berre l'Etang - Station Berre Magasin;5.169929;43.47524199999991;Berre-l’Étang;13014
1881;MOBILE_08;5.37493;43.34497999999989;Avignon;84007
1882;MOBILE_06;5.36788;43.30884999999989;Avignon;84007
1883;MOBRMX;5.400556;43.28777999999989;Avignon;84007
1884;MOBILE_03;5.934720000000001;43.114626999999885;Aix-en-Provence;13001
1885;MOBILE_12;5.425305999999999;43.30848899999989;Avignon;84007
1886;MOBILE_07;7.516389000000003;43.94249999999991;Avignon;84007
1887;Station NCA;7.28572;43.69467999999991;Nice;06088
1916;MOBILE_10;5.396680999999999;43.42674899999989;Avignon;84007
1917;MOBILE_10;5.371019;43.41091899999989;Avignon;84007
1918;MOBILE_10;5.377621999999999;43.42907299999989;Avignon;84007
1935;Toulon TCA;5.935278000000001;43.11749999999989;Toulon ;83137
1937;La Croix-Valmer - rue Frédéric Mistral - site PestiRiv;6.560885000000001;43.21353599999989;La Croix-Valmer;83048
1952;Marignane Ville;5.216875;43.41568899999989;Marignane;13054
1953;Gigondas - 11 Faubourg des 4 maires - site PestiRiv;5.004895;44.1655759999999;Gigondas;84049
1984;Station NCA;7.286161;43.69434099999992;Nice;06088
1985;Cassis - 10 avenue Emile Bodin - site PestiRiv;5.556974;43.22122899999989;Cassis;13022
2022;Avignon Charles de Gaulle;4.826857;43.9314179999999;Avignon;84007
2031;LOCAL_01;5.353481;43.21261099999989;Aix-en-Provence;13001
2043;MOBILE_02;5.012377999999999;43.369765999999885;Istres;13047
2044;MOBILE_08;7.015498;43.545535999999885;Nice;06088
2056;MOBILE_14;5.497791000000001;43.287648999999895;Marseille;13055
2057;MOBILE_02;4.85911;43.422639999999895;Fos-sur-Mer ;13039
2075;MOBILE_02;4.873857;43.4328389999999;Fos-sur-Mer ;13039
2097;MOBILE_13;6.630612999999999;44.89797699999991;Gap;05061
2112;MOBILE_04;4.864014;43.42634599999989;Fos-sur-Mer ;13039
2114;Test_Site_GMAO;5.37877;43.28733999999989;Marseille;13055
2215;Marseille Plombières;5.379950399999999;43.3181976999999;Marseille;13055
2236;MOBILE_08;5.226161;43.44051199999989;Salon-de-Provence;13103
2251;Fos Terminal Conteneurs;4.838603999999999;43.41450799999989;Fos-sur-Mer ;13039
2257;MOBILE_15;5.088127;43.70048999999991;Avignon;84007
2290;MOBILE_05;5.41894;43.303501999999895;Marseille;13055
2291;MOBILE_05;5.380281;43.30268099999989;Marseille;13055
2311;MOBILE_05;5.383677;43.29275599999989;Marseille;13055
2335;Port de Marseille;5.327846;43.35168999999989;Marseille;13055
2341;Ozone Saint-Jean-Cap-Ferrat;7.326851;43.6752169999999;Saint-Jean-Cap-Ferrat;06121
2342;Ozone Antibes Garoupe;7.132652000000001;43.5644279999999;Antibes;06004
