id_station;nom_station;longitude;latitude;ville;code_insee
1;Nice - Station Aéroport Nice;7.201943999999998;43.65774499999989;Nice;06088
2;Aix Ecole d'Art;5.440912000000001;43.53028499999989;Aix-en-Provence;13001
3;Aix Platanes;5.461232;43.555776999999885;Aix-en-Provence;13001
4;Aix Roy René;5.448164;43.5240749999999;Aix-en-Provence;13001
5;Antibes Guynemer;7.12222;43.580894999999884;Antibes;06004
6;Nice - Station Nice Arson;7.286256;43.7020749999999;Nice;06088
7;Antibes Moulin;7.093152999999999;43.5988029999999;Antibes;06004
8;Apt;5.362037999999999;43.88011999999989;Apt;84003
9;Arles;4.629209999999999;43.67511399999989;Arles;13004
10;Aubagne Passons;5.574184;43.29313799999991;Aubagne;13005
11;Avignon Mairie;4.804341000000001;43.94967299999991;Avignon;84007
12;Avignon - Station Avignon Semard;4.824908999999999;43.93705999999992;Avignon;84007
13;Berre l'Etang;5.171939000000001;43.4862339999999;Berre-l’Étang;13014
14;Brignoles;6.075610999999999;43.39873099999989;Brignoles;83023
15;Cagnes Ladoumegue;7.157846;43.6583349999999;Cagnes;06027
16;Cannes - Station Cannes Broussailles;7.005919;43.55838899999989;Cannes;06029
17;Carpentras;5.067412999999999;44.0603469999999;Carpentras;84031
18;Carry Le Rouet;5.151234;43.33086799999989;Carry-le-Rouet;13021
19;Chateauneuf La Mede;5.113213999999999;43.39954599999989;Châteauneuf-les-Martigues;13026
20;Chateauneuf les Martigues;5.1600600000000005;43.386815999999904;Châteauneuf-les-Martigues;13026
21;Coursegoules - Station Cheiron;7.048275999999999;43.79191099999989;Coursegoules;06051
22;Cians;6.988978000000001;44.09468799999991;Beuil;06016
23;Contes 2;7.332382000000003;43.7887479999999;Contes ;06048
24;Estérel;6.768366000000001;43.43785999999989;Saint-Raphaël;83118
25;Fos-sur-Mer - Station Fos Les Carabins;4.934571999999999;43.45892699999989;Fos-sur-Mer ;13039
26;Fos-sur-Mer - Station Fos Hauture;4.945116;43.4378579999999;Fos-sur-Mer ;13039
27;Gap - Station Gap Commanderie;6.073015;44.55519299999992;Gap;05061
28;Gap Jaures;6.067237;44.54864699999991;Gap;05061
29;Gardanne;5.466671999999999;43.45358399999989;Gardanne;13041
30;Grasse;6.920877999999999;43.657766999999886;Grasse;06069
31;Hyeres;6.131319000000001;43.11973699999989;Hyères;83069
32;Istres;4.982898;43.50614899999989;Istres;13047
33;La Fare Les Oliviers;5.183108;43.548314999999896;La Fare-les-Oliviers;13037
34;La Penne sur Huveaune;5.511383999999998;43.28334099999988;La Penne-sur-Huveaune;13071
35;La Seyne Genoud;5.875403999999999;43.10156499999988;La Seyne-sur-Mer;83126
36;La Valette La Garde;6.011513;43.13590199999989;La Valette-du-Var;83144
37;Le Pontet;4.856731;43.9601439999999;Le Pontet;84092
38;Manosque;5.786130999999999;43.83578399999989;Manosque;04112
39;Marignane;5.22228;43.416529999999895;Marignane;13054
40;Marseille - Station Marseille Cinq Avenues;5.394716;43.3052869999999;Marseille;13055
41;Marseille Plombieres;5.386739;43.31542799999988;Marseille;13055
42;Marseille - Station Marseille Rabatau;5.39736;43.27645099999988;Marseille;13055
43;Marseille Saint Louis;5.360119;43.34804799999989;Marseille;13055
44;Martigues Couronne;5.058826999999999;43.33989299999989;Martigues ;13056
45;Martigues La Gatasse;5.058138999999999;43.36069199999989;Martigues ;13056
46;Martigues Laurons;5.023387999999999;43.35898199999989;Martigues ;13056
47;Martigues Lavera;5.026868;43.386563999999886;Martigues ;13056
48;Martigues l'ile;5.051636000000001;43.40529699999989;Martigues ;13056
49;Martigues Poste Central;5.042731;43.41666099999989;Martigues ;13056
50;Martigues Ventrons;5.064024999999999;43.37570999999988;Martigues ;13056
51;Miramas Centre Ville;5.006452;43.584692999999895;Miramas ;13063
52;Nice Ouest Botanique;7.211173999999998;43.68518799999987;Nice;06088
53;OHP;5.711808999999999;43.9334759999999;Saint-Michel-l’Observatoire;04192
54;Peillon;7.373283000000001;43.78658299999989;Peillon;06092
55;Plan d'Aups Ste Baume;5.727365000000001;43.33520099999989;Plan-d'Aups-Sainte-Baume;83094
56;Port de Bouc EDF - Milan;4.985996000000001;43.41394499999989;Port de Bouc ;13077
57;Port de Bouc - Station Port de Bouc La Leque;4.981919;43.401951999999895;Port de Bouc ;13077
58;Port-Saint-Louis-Du-Rhône - Station Port Saint Louis;4.801024;43.39377999999989;Port-Saint-Louis-Du-Rhône;13078
59;Promenade des Anglais  Magnan;7.242074;43.68929099999989;Nice;06088
60;Rognac les Brets;5.220046;43.510801999999885;Rognac ;13081
61;Salon;5.101097;43.63900199999989;Salon-de-Provence;13103
62;Sausset Les Pins;5.117695999999999;43.33124499999989;Sausset-les-Pins;13104
63;St Remy de Provence;4.834650000000001;43.78837399999991;Saint-Rémy-de-Provence;13100
64;Ste Marie de la Mer;4.428001999999999;43.4570759999999;Sainte-Marie-de-la-Mer;13002
65;Toulon Arsenal;5.924399;43.1245849999999;Toulon;83137
66;Toulon Chalucet;5.927086;43.1274749999999;Toulon;83137
67;Toulon Claret;5.924184;43.131112999999885;Toulon;83137
68;Toulon Foch;5.9216050000000005;43.12682099999988;Toulon;83137
69;Vitrolles;5.254136000000001;43.44602999999989;Vitrolles;13117
70;Cavaillon - Les Vignières - site pesticides;5.006111;43.88138899999991;Cavaillon;84035
74;Marseille - Chateau-Saint-Antoine;5.490830999999999;43.28774699999989;Marseille;13055
91;MOBILE_16;5.380281;43.30268099999989;Marseille;13055
102;MOBILE_04;5.4984340000000005;43.46950299999991;Berre-l’Étang;13014
